date,close,news_score
2022-01-13,172.19,0.1219512195121951
2022-01-14,173.07,0.12
2022-01-18,169.8,0.0
2022-01-19,166.23,0.0625
2022-01-20,164.51,0.1282051282051282
2022-01-21,162.41,0.1666666666666667
2022-01-24,161.62,-0.1
2022-01-25,159.78,0.0277777777777777
2022-01-26,159.69,0.1944444444444444
2022-01-27,159.22,0.1111111111111111
2022-01-28,170.33,0.0963855421686747
2022-01-31,174.78,0.2093023255813954
2022-02-01,174.61,0.3157894736842105
2022-02-02,175.84,0.05
2022-02-03,172.9,-0.0634920634920634
2022-02-04,172.39,0.2558139534883721
2022-02-07,171.66,0.3
2022-02-08,174.83,0.2045454545454546
2022-02-09,176.28,0.2553191489361702
2022-02-10,172.12,0.0303030303030303
2022-02-11,168.64,0.2692307692307692
2022-02-14,168.88,0.1111111111111111
2022-02-15,172.79,0.2380952380952381
2022-02-16,172.55,0.2222222222222222
2022-02-17,168.88,0.1621621621621622
2022-02-18,167.3,0.0
2022-02-22,164.32,-0.0869565217391304
2022-02-23,160.07,0.1481481481481481
2022-02-24,162.74,0.074074074074074
2022-02-25,164.85,0.3125
2022-02-28,165.12,-0.1724137931034483
2022-03-01,163.2,0.0666666666666666
2022-03-02,166.56,-0.0217391304347826
2022-03-03,166.23,0.125
2022-03-04,163.17,-0.0833333333333333
2022-03-07,159.3,-0.2380952380952381
2022-03-08,157.44,0.2686567164179104
2022-03-09,162.95,0.3076923076923077
2022-03-10,158.52,0.1025641025641026
2022-03-11,154.73,-0.103448275862069
2022-03-14,150.62,-0.2195121951219512
2022-03-15,155.09,0.2333333333333333
2022-03-16,159.59,-0.0833333333333333
2022-03-17,160.62,0.1714285714285714
2022-03-18,163.98,0.3333333333333333
2022-03-21,165.38,-0.25
2022-03-22,168.82,0.04
2022-03-23,170.21,0.2068965517241379
2022-03-24,174.07,0.1714285714285714
2022-03-25,174.72,0.1666666666666667
2022-03-28,175.6,0.2982456140350877
2022-03-29,178.96,0.21875
2022-03-30,177.77,0.2549019607843137
2022-03-31,174.61,0.1538461538461539
2022-04-01,174.31,-0.054054054054054
2022-04-04,178.44,0.3666666666666666
2022-04-05,175.06,0.0869565217391304
2022-04-06,171.83,-0.1851851851851852
2022-04-07,172.14,0.391304347826087
2022-04-08,170.09,0.1153846153846154
2022-04-11,165.75,0.0
2022-04-12,167.66,-0.0967741935483871
2022-04-13,170.4,0.0606060606060606
2022-04-14,165.29,0.064516129032258
2022-04-18,165.07,0.3333333333333333
2022-04-19,167.4,0.1379310344827586
2022-04-20,167.23,-0.2
2022-04-21,166.42,0.032258064516129
2022-04-22,161.79,-0.0277777777777777
2022-04-25,162.88,0.0
2022-04-26,156.8,0.0425531914893617
2022-04-27,156.57,0.027027027027027
2022-04-28,163.64,0.2333333333333333
2022-04-29,157.65,-0.2987012987012987
2022-05-02,157.96,-0.2272727272727273
2022-05-03,159.48,0.0
2022-05-04,166.02,0.1481481481481481
2022-05-05,156.77,-0.1
2022-05-06,157.28,-0.2083333333333333
2022-05-09,152.06,-0.1666666666666667
2022-05-10,154.51,-0.08
2022-05-11,146.5,-0.0833333333333333
2022-05-12,142.56,-0.1666666666666667
2022-05-13,147.11,-0.0769230769230769
2022-05-16,145.54,-0.0526315789473684
2022-05-17,149.24,0.2307692307692308
2022-05-18,140.82,-0.0689655172413793
2022-05-19,137.35,-0.0303030303030303
2022-05-20,137.59,0.125
2022-05-23,143.11,0.1515151515151515
2022-05-24,140.36,-0.1666666666666667
2022-05-25,140.52,-0.103448275862069
2022-05-26,143.78,0.1590909090909091
2022-05-27,149.64,-0.2083333333333333
2022-05-31,148.84,0.25
2022-06-01,148.71,-0.0526315789473684
2022-06-02,151.21,0.2727272727272727
2022-06-03,145.38,0.032258064516129
2022-06-06,146.14,0.4193548387096774
2022-06-07,148.71,0.0
2022-06-08,147.96,0.1818181818181818
2022-06-09,142.64,0.05
2022-06-10,137.13,-0.0416666666666666
2022-06-13,131.88,-0.1935483870967742
2022-06-14,132.76,0.0238095238095238
2022-06-15,135.43,0.075
2022-06-16,130.06,-0.2941176470588235
2022-06-17,131.56,0.2307692307692308
2022-06-21,135.87,0.1785714285714286
2022-06-22,135.35,0.0526315789473684
2022-06-23,138.27,0.0714285714285714
2022-06-24,141.66,0.0
2022-06-27,141.66,0.1
2022-06-28,137.44,0.1351351351351351
2022-06-29,139.23,0.1282051282051282
2022-06-30,136.72,-0.3181818181818182
2022-07-01,138.93,0.1142857142857143
2022-07-05,141.56,-0.25
2022-07-06,142.92,0.1724137931034483
2022-07-07,146.35,0.4482758620689655
2022-07-08,147.04,0.1
2022-07-11,144.87,-0.1515151515151515
2022-07-12,145.86,0.1111111111111111
2022-07-13,145.49,-0.24
2022-07-14,148.47,0.28
2022-07-15,150.17,0.2222222222222222
2022-07-18,147.07,-0.2
2022-07-19,151.0,0.0566037735849056
2022-07-20,153.04,0.1
2022-07-21,155.35,0.0
2022-07-22,154.09,0.0294117647058823
2022-07-25,152.95,-0.1551724137931035
2022-07-26,151.6,-0.1
2022-07-27,156.79,-0.1212121212121212
2022-07-28,157.35,0.2142857142857143
2022-07-29,162.51,0.4
2022-08-01,161.51,0.1176470588235294
2022-08-02,160.01,0.0526315789473684
2022-08-03,166.13,0.3846153846153846
2022-08-04,165.81,-0.1875
2022-08-05,165.35,0.2272727272727273
2022-08-08,164.87,0.05
2022-08-09,164.92,0.0263157894736842
2022-08-10,169.24,0.3076923076923077
2022-08-11,168.49,0.2272727272727273
2022-08-12,172.1,0.2727272727272727
2022-08-15,173.19,0.0512820512820512
2022-08-16,173.03,-0.119047619047619
2022-08-17,174.55,-0.1071428571428571
2022-08-18,174.15,-0.0769230769230769
2022-08-19,171.52,-0.08
2022-08-22,167.57,-0.0416666666666666
2022-08-23,167.23,0.0
2022-08-24,167.53,0.175
2022-08-25,170.03,0.2857142857142857
2022-08-26,163.62,-0.0384615384615384
2022-08-29,161.38,-0.1176470588235294
2022-08-30,158.91,-0.0588235294117647
2022-08-31,157.22,0.1111111111111111
2022-09-01,157.96,0.037037037037037
2022-09-02,155.81,-0.0606060606060606
2022-09-06,154.53,-0.15625
2022-09-07,155.96,0.1911764705882353
2022-09-08,154.46,0.1186440677966102
2022-09-09,157.37,0.3333333333333333
2022-09-12,163.43,0.4375
2022-09-13,153.84,0.1666666666666667
2022-09-14,155.31,0.032258064516129
2022-09-15,152.37,0.0588235294117647
2022-09-16,150.7,-0.1666666666666667
2022-09-19,154.48,0.4705882352941176
2022-09-20,156.9,0.0857142857142857
2022-09-21,153.72,0.2222222222222222
2022-09-22,152.74,0.0333333333333333
2022-09-23,150.43,-0.1470588235294118
2022-09-26,150.77,-0.0476190476190476
2022-09-27,151.76,0.1875
2022-09-28,149.84,-0.0588235294117647
2022-09-29,142.48,-0.1351351351351351
2022-09-30,138.2,-0.15
2022-10-03,142.45,0.1428571428571428
2022-10-04,146.1,0.1081081081081081
2022-10-05,146.4,0.28
2022-10-06,145.43,-0.0666666666666666
2022-10-07,140.09,-0.0454545454545454
2022-10-10,140.42,0.0
2022-10-11,138.98,-0.0833333333333333
2022-10-12,138.34,0.1071428571428571
2022-10-13,142.99,0.2413793103448276
2022-10-14,138.38,0.3333333333333333
2022-10-17,142.41,0.2
2022-10-18,143.75,0.1176470588235294
2022-10-19,143.86,0.0
2022-10-20,143.39,0.0
2022-10-21,147.27,0.1025641025641026
2022-10-24,149.45,0.03125
2022-10-25,152.34,0.0
2022-10-26,149.35,-0.2142857142857143
2022-10-27,144.8,0.048780487804878
2022-10-28,155.74,0.1666666666666667
2022-10-31,153.34,0.0
2022-11-01,150.65,0.1304347826086956
2022-11-02,145.03,-0.1111111111111111
2022-11-03,138.88,-0.0434782608695652
2022-11-04,138.38,0.0416666666666666
2022-11-07,138.92,-0.2741935483870968
2022-11-08,139.5,0.08
2022-11-09,134.87,-0.2857142857142857
2022-11-10,146.87,0.2051282051282051
2022-11-11,149.7,0.35
2022-11-14,148.28,-0.0769230769230769
2022-11-15,150.04,0.0384615384615384
2022-11-16,148.79,-0.0454545454545454
2022-11-17,150.72,0.0
2022-11-18,151.29,-0.1153846153846154
2022-11-21,148.01,0.0
2022-11-22,150.18,0.0
2022-11-23,151.07,-0.1935483870967742
2022-11-25,148.11,-0.1212121212121212
2022-11-28,144.22,-0.4230769230769231
2022-11-29,141.17,-0.25
2022-11-30,148.03,-0.1320754716981132
2022-12-01,148.31,-0.1052631578947368
2022-12-02,147.81,-0.1153846153846154
2022-12-05,146.63,0.0285714285714285
2022-12-06,142.91,0.0232558139534883
2022-12-07,140.94,-0.2093023255813954
2022-12-08,142.65,0.1363636363636364
2022-12-09,142.16,-0.08
2022-12-12,144.49,0.0
2022-12-13,145.47,0.2222222222222222
2022-12-14,143.21,0.0625
2022-12-15,136.5,-0.0952380952380952
2022-12-16,134.51,0.1818181818181818
2022-12-19,132.37,0.0869565217391304
2022-12-20,132.3,0.1
2022-12-21,135.45,0.2083333333333333
2022-12-22,132.23,0.1904761904761905
2022-12-23,131.86,0.3076923076923077
2022-12-27,130.03,-0.3333333333333333
2022-12-28,126.04,-0.037037037037037
2022-12-29,129.61,0.2758620689655172
2022-12-30,129.93,-0.0454545454545454
2023-01-03,125.07,-0.15
2023-01-04,126.36,0.0952380952380952
