date,close,news_score,sma,rsi,signal,market_return,position,turnover,transaction_cost,strategy_return_gross,strategy_return,window,sma_window,rsi_threshold,strategy_equity,benchmark_equity
2021-12-06,165.32,0.1470588235294118,157.1175,66.89940754142857,1,0.021502718734552673,1,1.0,0.0005,0.021502718734552673,0.021002718734552672,7,20,55,1.0909093665351277,1.7315074232148926
2021-12-07,171.18,0.3469387755102041,158.15449999999998,73.14759085717675,0,0.035446406968304034,1,0.0,0.0,0.035446406968304034,0.035446406968304034,7,20,55,1.1295781839068666,1.792883140006807
2021-12-08,175.08,0.024390243902439,159.368,76.34755889062747,0,0.022783035401331864,0,1.0,0.0005,0.0,-0.0005,7,20,55,1.1290133948149133,1.8337304600560331
2021-12-09,174.56,0.0303030303030303,160.70000000000002,75.06312299732609,0,-0.002970070824765858,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1290133948149133,1.8282841507161363
2021-12-10,179.45,0.1428571428571428,162.279,78.69327047804211,0,0.02801329055911994,0,0.0,0.0,0.0,0.0,8,20,40,1.1290133948149133,1.8795004058547813
2021-12-13,175.74,0.25,163.5665,70.32834050296313,0,-0.020674282529952515,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1290133948149133,1.840643083448979
2021-12-14,174.33,0.0555555555555555,164.78300000000002,67.39616613208482,0,-0.008023216114714904,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1290133948149133,1.8258752062004127
2021-12-15,179.3,0.0909090909090909,166.198,71.85111372600552,0,0.028509149314518423,0,0.0,0.0,0.0,0.0,8,20,40,1.1290133948149133,1.8779293550836573
2021-12-16,172.26,-0.3125,167.1365,59.457887987449745,0,-0.0392638036809817,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1290133948149133,1.8041947055589
2021-12-17,171.14,-0.25,167.8,57.75124662787942,1,-0.006501799605247882,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1290133948149133,1.792464193134507
2021-12-20,169.75,-0.3157894736842105,168.26,55.617581077037826,1,-0.008122005375715724,1,1.0,0.0005,-0.008122005375715724,-0.008622005375715724,8,20,40,1.119279035255564,1.7779057893220904
2021-12-21,172.99,0.3571428571428572,168.8585,59.38438416584514,1,0.019086892488954454,1,0.0,0.0,0.019086892488954454,0.019086892488954454,8,20,40,1.1406425938666276,1.8118404859783708
2021-12-22,175.64,0.2142857142857143,169.57,62.20946293022704,0,0.015318804555176424,1,0.0,0.0,0.015318804555176424,0.015318804555176424,8,20,40,1.1581158748293798,1.8395957162682293
2021-12-23,176.28,0.2666666666666667,170.28699999999998,62.880973539733766,0,0.0036438168982009245,0,1.0,0.0005,0.0,-0.0005,8,20,40,1.1575368168919653,1.8462988662250255
2021-12-27,180.33,0.0434782608695652,171.46300000000002,66.89041012133566,0,0.022974812797821764,0,0.0,0.0,0.0,0.0,8,20,40,1.1575368168919653,1.888717237045376
2021-12-28,179.29,0.1428571428571428,172.4155,64.95028026000733,0,-0.005767204569400608,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.8778246183655822
2021-12-29,179.38,-0.03125,173.1195,65.04476746241099,0,0.0005019800323498025,0,0.0,0.0,0.0,0.0,8,20,40,1.1575368168919653,1.8787672488282567
2021-12-30,178.2,0.0714285714285714,173.791,62.65969859480313,0,-0.006578213847697634,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.866408316095414
2021-12-31,177.57,0.3076923076923077,174.48149999999998,61.36592270843056,0,-0.0035353535353535026,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.8598099028566928
2022-01-03,182.01,0.3611111111111111,175.49,66.60004365822158,0,0.025004223686433402,0,0.0,0.0,0.0,0.0,8,20,40,1.1575368168919653,1.9063130056819655
2022-01-04,179.7,0.1578947368421053,176.209,61.90125052314123,0,-0.012691610351079574,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.8821188238066546
2022-01-05,174.92,0.2,176.39600000000002,53.49126446244984,0,-0.02659988870339458,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.8320546725668336
2022-01-06,172.0,0.2307692307692308,176.24200000000002,49.1025294785558,0,-0.01669334552938484,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1575368168919653,1.8014715508889514
2022-01-07,172.17,0.0588235294117647,176.1225,49.36300992553249,-1,0.000988372093023271,0,0.0,0.0,0.0,0.0,8,20,40,1.1575368168919653,1.8032520750962253
2022-01-10,172.19,0.0909090909090909,175.7595,49.39582180163515,0,0.00011616425625837756,-1,1.0,0.0005,-0.00011616425625837756,-0.0006161642562583776,8,20,40,1.1568235840800933,1.8034615485323753
2022-01-11,175.08,0.3478260869565217,175.7265,54.03113895310886,0,0.016783785353388758,0,1.0,0.0005,0.0,-0.0005,8,20,40,1.1562451722880533,1.8337304600560327
2022-01-12,175.53,0.0,175.7865,54.72654122775399,-1,0.0025702535983549435,0,0.0,0.0,0.0,0.0,8,20,40,1.1562451722880533,1.8384436123694048
2022-01-13,172.19,0.1219512195121951,175.43099999999998,48.82296530400488,0,-0.019028086367002817,-1,1.0,0.0005,0.019028086367002817,0.018528086367002816,8,20,40,1.1776681827016364,1.803461548532375
2022-01-14,173.07,0.12,175.4715,50.34288120252953,0,0.005110633602415815,0,1.0,0.0005,0.0,-0.0005,8,20,40,1.1770793486102857,1.8126783797229695
2022-01-18,169.8,0.0,175.4045,44.99525634096117,0,-0.01889408909689716,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.7784294729124646
2022-01-19,166.23,0.0625,175.2285,39.99969094070709,0,-0.02102473498233226,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.7410384645597112
2022-01-20,164.51,0.1282051282051282,174.8045,37.82099899068748,0,-0.01034710942669792,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.7230237490508218
2022-01-21,162.41,0.1666666666666667,174.14299999999997,35.29339973284732,0,-0.012765181447936258,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.7010290382550846
2022-01-24,161.62,-0.1,173.41000000000003,34.36302253058699,0,-0.004864232497998833,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.6927548375271644
2022-01-25,159.78,0.0277777777777777,172.3825,32.23181500122152,0,-0.011384729612671673,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.6734832814013756
2022-01-26,159.69,0.1944444444444444,171.40249999999997,32.12685785674411,0,-0.0005632745024408692,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.672540650938701
2022-01-27,159.22,0.1111111111111111,170.39450000000002,31.549089037351663,0,-0.0029432024547560998,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.667618025189179
2022-01-28,170.33,0.0963855421686747,170.001,53.045431995098795,0,0.0697776661223466,0,0.0,0.0,0.0,0.0,8,20,40,1.1770793486102857,1.7839805189704365
2022-01-31,174.78,0.2093023255813954,169.8615,58.647152150517094,0,0.026125755885633595,0,0.0,0.0,0.0,0.0,8,20,40,1.1770793486102857,1.830588358513784
2022-02-01,174.61,0.3157894736842105,169.4915,58.36070947843149,0,-0.000972651333104424,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.8288078343065102
2022-02-02,175.84,0.05,169.29850000000002,59.88726950964498,0,0.007044270087623872,0,0.0,0.0,0.0,0.0,8,20,40,1.1770793486102857,1.8416904506297278
2022-02-03,172.9,-0.0634920634920634,169.1975,54.72301664824751,0,-0.01671974522292996,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.8108978555156956
2022-02-04,172.39,0.2558139534883721,169.217,53.85543559629441,1,-0.0029496818970504712,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1770793486102857,1.8055562828938734
2022-02-07,171.66,0.3,169.1915,52.57067863658612,0,-0.004234584372643346,1,1.0,0.0005,-0.004234584372643346,-0.004734584372643347,8,20,40,1.1715063671209942,1.7979105024744029
2022-02-08,174.83,0.2045454545454546,169.3235,57.33088870987449,0,0.01846673657229414,0,1.0,0.0005,0.0,-0.0005,8,20,40,1.1709206139374337,1.8311120421041587
2022-02-09,176.28,0.2553191489361702,169.3835,59.341040672988214,0,0.008293771091917757,0,0.0,0.0,0.0,0.0,8,20,40,1.1709206139374337,1.8462988662250246
2022-02-10,172.12,0.0303030303030303,169.21300000000002,51.801155194710105,0,-0.02359882005899705,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1709206139374337,1.80272839150585
2022-02-11,168.64,0.2692307692307692,169.0355,46.480655396843616,0,-0.020218452242621532,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1709206139374337,1.766280013615771
2022-02-14,168.88,0.1111111111111111,168.826,46.88582801040968,0,0.0014231499051233776,0,0.0,0.0,0.0,0.0,8,20,40,1.1709206139374337,1.7687936948495697
2022-02-15,172.79,0.2380952380952381,168.97549999999998,53.11351999730772,0,0.023152534343912734,0,0.0,0.0,0.0,0.0,8,20,40,1.1709206139374337,1.8097457516168707
2022-02-16,172.55,0.2222222222222222,169.29149999999998,52.70502391880779,0,-0.0013889692690548516,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1709206139374337,1.8072320703830722
2022-02-17,168.88,0.1621621621621622,169.51,46.78009175283182,-1,-0.02126919733410615,0,0.0,0.0,-0.0,-0.0,8,20,40,1.1709206139374337,1.7687936948495695
2022-02-18,167.3,0.0,169.7545,44.46268251039279,0,-0.009355755566082369,-1,1.0,0.0005,0.009355755566082369,0.008855755566082368,8,20,40,1.1812900006817508,1.7522452933937291
2022-02-22,164.32,-0.0869565217391304,169.8895,40.39784045155441,0,-0.01781231320980281,0,1.0,0.0005,-0.0,-0.0005,9,20,40,1.18069935568141,1.7210337514073972
