date,market_return,baseline_position,baseline_return,baseline_equity,benchmark_equity,threshold_0.00_hold_1d_position,threshold_0.00_hold_1d_return,threshold_0.00_hold_1d_equity,threshold_0.00_hold_3d_position,threshold_0.00_hold_3d_return,threshold_0.00_hold_3d_equity,threshold_0.05_hold_1d_position,threshold_0.05_hold_1d_return,threshold_0.05_hold_1d_equity,threshold_0.05_hold_3d_position,threshold_0.05_hold_3d_return,threshold_0.05_hold_3d_equity
2023-09-05,0.0012667581547554,0.5,0.00038337907737770005,1.4916745351711458,1.0683110885847926,0.5,0.00038337907737770005,1.510162913167004,0.5,0.00038337907737770005,1.5517772500248757,0.5,0.00038337907737770005,1.510162913167004,0.5,0.00038337907737770005,1.514722866220325
2023-09-06,-0.0357933579335792,0.5,-0.0178966789667896,1.4649785148922527,1.0300726474066655,0.5,-0.0178966789667896,1.4831360123225024,0.5,-0.0178966789667896,1.5240055907532128,0.5,-0.0178966789667896,1.4831360123225024,0.5,-0.0178966789667896,1.4876143573599243
2023-09-07,-0.0292493576075665,-1.0,0.0284993576075665,1.5067294614755686,0.9999436841808952,-1.0,0.0284993576075665,1.5254044359183414,-1.0,0.0284993576075665,1.5674387710800193,-1.0,0.0284993576075665,1.5254044359183414,-1.0,0.0284993576075665,1.530010410912475
2023-09-08,0.0034917774273486,-1.0,-0.0034917774273486,1.501468297552867,1.003435264965938,-1.0,-0.0034917774273486,1.5200780631414244,-1.0,-0.0034917774273486,1.561965623760411,-1.0,-0.0034917774273486,1.5200780631414244,-1.0,-0.0034917774273486,1.5246679550960425
2023-09-11,0.0066225165562914,-1.0,-0.0066225165562914,1.4915247988935765,1.0100805316213415,-1.0,-0.0066225165562914,1.5100113210014148,-1.0,-0.0066225165562914,1.5516214805566995,-1.0,-0.0066225165562914,1.5100113210014148,-1.0,-0.0066225165562914,1.514570816320572
2023-09-12,-0.0170606601248884,0.5,-0.0092803300624442,1.4776829564635234,0.9928478909725832,0.5,-0.0092803300624442,1.4959979175444942,0.5,-0.0092803300624442,1.537221921085155,0.5,-0.0092803300624442,1.4959979175444942,0.5,-0.0092803300624442,1.5005150992421714
2023-09-13,-0.0118547929665343,-1.0,0.0111047929665343,1.4940923197652272,0.9810778847778431,-1.0,0.0111047929665343,1.5126106646971922,-1.0,0.0111047929665343,1.5542924522624237,-1.0,0.0111047929665343,1.5126106646971922,-1.0,0.0111047929665343,1.5171780087624143
2023-09-14,0.008782503874634,0.5,0.003641251937317,1.4995326863191027,0.9896942051022223,0.5,0.003641251937317,1.5181184612104273,0.5,0.003641251937317,1.5599520226653816,0.5,0.003641251937317,1.5181184612104273,0.5,0.003641251937317,1.5227024361260753
2023-09-15,-0.0041538636622283,0.5,-0.00207693183111415,1.4964182591510906,0.9855831503069303,0.5,-0.00207693183111415,1.5149654326549373,0.5,-0.00207693183111415,1.556712108654497,0.5,-0.00207693183111415,1.5149654326549373,0.5,-0.00207693183111415,1.51953988696717
2023-09-18,0.0169133192389006,0.5,0.0084566596194503,1.5090729590170615,1.002252632764553,0.5,0.0084566596194503,1.5277769796541332,0.5,0.0084566596194503,1.5698766930828647,0.5,0.0084566596194503,1.5277769796541332,0.5,0.0084566596194503,1.532390118569429
