date,market_return,overlay_position,overlay_turnover,overlay_return,overlay_equity,passive_50_return,passive_50_equity,tiered_short_return,tiered_short_equity,original_strategy_return,original_strategy_equity,benchmark_equity
2020-12-22,0.028464477891289,0.5,0.5,0.0139822389456445,1.350217121395295,0.0142322389456445,1.1863792556987311,0.0,1.0612298744651965,-0.0005,1.2181306933083804,1.3812678379722978
2020-12-23,-0.0069760388231724,1.0,0.5,-0.007226038823172401,1.3404604000563805,-0.0034880194115862,1.182241141825351,-0.0,1.0612298744651965,-0.0074760388231724,1.209023900953509,1.3716320599094036
2020-12-24,0.0077122785583383,0.5,0.5,0.00360613927916915,1.3452942869571944,0.00385613927916915,1.1868000283297935,0.0,1.0612298744651965,-0.0005,1.2084193890030324,1.3822104684349723
2020-12-28,0.0357657043267409,0.5,0.0,0.01788285216337045,1.3693519858070768,0.01788285216337045,1.208023397783899,0.0,1.0612298744651965,0.0,1.2084193890030324,1.4316461993663436
2020-12-29,-0.01331479991221,0.5,0.0,-0.006657399956105,1.3602356619568725,-0.006657399956105,1.1999811028685186,-0.0,1.0612298744651965,-0.0,1.2084193890030324,1.4125841166767048
2020-12-30,-0.0085267294431675,0.5,0.0,-0.00426336472158375,1.3544364812226455,-0.00426336472158375,1.1948651457679818,-0.0,1.0612298744651965,-0.0,1.2084193890030324,1.4005393940980868
2020-12-31,-0.0077026622793897,0.5,0.0,-0.00385133113969485,1.349220097825774,-0.00385133113969485,1.1902633244243495,-0.0,1.0612298744651965,-0.0,1.2084193890030324,1.3897515121363682
2021-01-04,-0.0247192704800662,0.5,0.0,-0.0123596352400331,1.3325442295581256,-0.0123596352400331,1.1755521038948753,-0.0,1.0612298744651965,-0.0,1.2084193890030324,1.3553978686077883
2021-01-05,0.0123638049609766,0.5,0.0,0.0061819024804883,1.3407818880361915,0.0061819024804883,1.1828192523618863,0.0,1.0612298744651965,0.0,1.2084193890030324,1.3721557434997784
2021-01-06,-0.0336615525532402,0.5,0.0,-0.0168307762766201,1.31821548804291,-0.0168307762766201,1.1629114861497043,-0.0,1.0612298744651965,-0.0,1.2084193890030324,1.3259668508287303
2021-01-07,0.034123222748815,-1.0,1.5,-0.034873222748815,1.2722450656974518,0.0170616113744075,1.1827526299892253,-0.034623222748815,1.0244866761338909,-0.034623222748815,1.1665800153235935,1.371213113037104
2021-01-08,0.0086312251756799,-1.0,0.0,-0.0086312251756799,1.2612640320567694,0.00431561258783995,1.1878569321275074,-0.0086312251756799,1.0156441009426953,-0.0005,1.1659967253159318,1.3830483621795722
2021-01-11,-0.0232487694055283,-1.0,0.0,0.0232487694055283,1.2905868686975441,-0.01162438470276415,1.174048826176612,0.0232487694055283,1.0392565764435973,-0.0,1.1659967253159318,1.3508941897305657
2021-01-12,-0.0013955652039073,-1.0,0.0,0.0013955652039073,1.292387966824118,-0.00069778260195365,1.1732295953318619,0.0013955652039073,1.0407069267596136,0.0008955652039073,1.1670409514109947,1.3490089288052172
