window,sma_window,rsi_threshold,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,positive_day_rate,exposure,active_days,active_day_hit_rate,total_turnover,estimated_cost
13,10,50,132,0.0725981426228206,0.14316015186722142,0.12908685770342634,0.7907658474682854,0.6327339704783863,0.04516854848088159,0.09090909090909091,0.1590909090909091,21,0.5714285714285714,34.0,0.017
13,10,55,132,0.0542246005850171,0.1060670664440635,0.10560014437289691,0.6279799051279268,0.4790708319551383,0.05524235880524653,0.06060606060606061,0.11363636363636363,15,0.5333333333333333,22.0,0.011
13,10,60,132,-0.028613765277155978,-0.053915174828206514,0.07475290840706045,-1.239295499368423,-0.5346926749478917,0.07391651284071965,0.022727272727272728,0.06060606060606061,8,0.375,10.0,0.005
13,20,40,132,0.20817357067280318,0.4348032753316684,0.19115271513889978,1.7736911832805264,2.2102835204736873,0.047305076216009545,0.12121212121212122,0.22727272727272727,30,0.5333333333333333,45.0,0.0225
13,20,45,132,0.20817357067280318,0.4348032753316684,0.19115271513889978,1.7736911832805264,2.2102835204736873,0.047305076216009545,0.12121212121212122,0.22727272727272727,30,0.5333333333333333,45.0,0.0225
13,20,50,132,0.04529321012206711,0.08824664741790689,0.13817293228404676,0.3911010373030883,0.3361443875647064,0.047105904174123525,0.09848484848484848,0.19696969696969696,26,0.5,39.0,0.0195
13,20,55,132,0.03569861204719382,0.06925658729493844,0.1068519643945968,0.3049875013981278,0.25679946412367843,0.05715927470908477,0.06060606060606061,0.13636363636363635,18,0.4444444444444444,24.0,0.012
13,20,60,132,-0.028613765277155978,-0.053915174828206514,0.07475290840706045,-1.239295499368423,-0.5346926749478917,0.07391651284071965,0.022727272727272728,0.06060606060606061,8,0.375,10.0,0.005
13,30,40,132,0.12205328938259297,0.2458916815768033,0.15080563265023347,1.2669854854587668,1.4562458419027042,0.04710590417412319,0.10606060606060606,0.20454545454545456,27,0.5185185185185185,39.0,0.0195
13,30,45,132,0.12205328938259297,0.2458916815768033,0.15080563265023347,1.2669854854587668,1.4562458419027042,0.04710590417412319,0.10606060606060606,0.20454545454545456,27,0.5185185185185185,39.0,0.0195
13,30,50,132,0.059826607667369025,0.11731482892600575,0.1280886160047135,0.6171035439881668,0.6017862203708514,0.057159274709084884,0.09848484848484848,0.19696969696969696,26,0.5,39.0,0.0195
13,30,55,132,0.03569861204719382,0.06925658729493844,0.1068519643945968,0.3049875013981278,0.25679946412367843,0.05715927470908477,0.06060606060606061,0.13636363636363635,18,0.4444444444444444,24.0,0.012
13,30,60,132,-0.028613765277155978,-0.053915174828206514,0.07475290840706045,-1.239295499368423,-0.5346926749478917,0.07391651284071965,0.022727272727272728,0.06060606060606061,8,0.375,10.0,0.005
14,10,40,132,0.09180744987649203,0.18256299184704128,0.13979554598259564,0.9823641489739349,1.0223756195796547,0.04469089392784553,0.09090909090909091,0.17424242424242425,23,0.5217391304347826,36.0,0.018
14,10,45,132,0.09180744987649203,0.18256299184704128,0.13979554598259564,0.9823641489739349,1.0223756195796547,0.04469089392784553,0.09090909090909091,0.17424242424242425,23,0.5217391304347826,36.0,0.018
14,10,50,132,0.08194618994725089,0.1622557893832388,0.1392400676796502,0.8612519953054371,0.8825886082640978,0.04469089392784553,0.08333333333333333,0.16666666666666666,22,0.5,34.0,0.017
14,10,55,132,0.003444640642878971,0.006586427613550994,0.11737162415251626,-0.22700515676259767,-0.17475494406131306,0.05476974367708498,0.05303030303030303,0.12121212121212122,16,0.4375,22.0,0.011
14,10,60,132,-0.034443525830655464,-0.06472525439426591,0.10310594648092322,-0.9858453811291823,-0.6223955328080982,0.07345323946044979,0.03787878787878788,0.09848484848484848,13,0.38461538461538464,16.0,0.008
14,20,40,132,0.17927425744485914,0.3699956831360349,0.20053968645512357,1.4686157580339028,2.055425695034174,0.06230298869945994,0.12121212121212122,0.24242424242424243,32,0.5,42.0,0.021
14,20,45,132,0.17927425744485914,0.3699956831360349,0.20053968645512357,1.4686157580339028,2.055425695034174,0.06230298869945994,0.12121212121212122,0.24242424242424243,32,0.5,42.0,0.021
14,20,50,132,0.05400703896655212,0.10563133744532238,0.14788118283086843,0.48138586256342314,0.5147581680394209,0.05481026054856308,0.09848484848484848,0.21212121212121213,28,0.4642857142857143,38.0,0.019
14,20,55,132,-0.008014057542196085,-0.01524381829373156,0.11813026799343312,-0.4104029733479045,-0.3313178391723315,0.05668761851834425,0.05303030303030303,0.13636363636363635,18,0.3888888888888889,22.0,0.011
14,20,60,132,-0.034443525830655464,-0.06472525439426591,0.10310594648092322,-0.9858453811291823,-0.6223955328080982,0.07345323946044979,0.03787878787878788,0.09848484848484848,13,0.38461538461538464,16.0,0.008
14,30,40,132,0.10191570320503107,0.20355259645116308,0.16708459292500888,0.95152797013775,1.1403070932478527,0.054810260548563194,0.09848484848484848,0.21212121212121213,28,0.4642857142857143,36.0,0.018
14,30,45,132,0.10191570320503107,0.20355259645116308,0.16708459292500888,0.95152797013775,1.1403070932478527,0.054810260548563194,0.09848484848484848,0.21212121212121213,28,0.4642857142857143,36.0,0.018
14,30,50,132,0.040805809059025755,0.07934516562897742,0.1468089703498958,0.31987864653690723,0.3365828351912144,0.05668761851834425,0.09090909090909091,0.20454545454545456,27,0.4444444444444444,36.0,0.018
14,30,55,132,-0.008014057542196085,-0.01524381829373156,0.11813026799343312,-0.4104029733479045,-0.3313178391723315,0.05668761851834425,0.05303030303030303,0.13636363636363635,18,0.3888888888888889,22.0,0.011
14,30,60,132,-0.034443525830655464,-0.06472525439426591,0.10310594648092322,-0.9858453811291823,-0.6223955328080982,0.07345323946044979,0.03787878787878788,0.09848484848484848,13,0.38461538461538464,16.0,0.008
15,10,40,132,0.11372351334403219,0.22829387895360553,0.12563603239405105,1.3805919755048055,1.3586520788611616,0.04678818126965367,0.09090909090909091,0.15151515151515152,20,0.6,34.0,0.017
15,10,45,132,0.11372351334403219,0.22829387895360553,0.12563603239405105,1.3805919755048055,1.3586520788611616,0.04678818126965367,0.09090909090909091,0.15151515151515152,20,0.6,34.0,0.017
15,10,50,132,0.10366430642468405,0.20720137677238792,0.1250377681196441,1.2479649473925407,1.2038118392242494,0.046788181269653895,0.08333333333333333,0.14393939393939395,19,0.5789473684210527,32.0,0.016
15,10,55,132,0.03272983349132885,0.06341290387933363,0.09944359238454592,0.26518398624080247,0.16457409149995111,0.03861783807881469,0.05303030303030303,0.09090909090909091,12,0.5833333333333334,18.0,0.009
15,10,60,132,0.014937628377959644,0.02871083083366721,0.09631116465668747,-0.07385841841385618,-0.04331944205534906,0.03861783807881469,0.045454545454545456,0.08333333333333333,11,0.5454545454545454,16.0,0.008
15,20,40,132,0.11105474575740049,0.2226809579028901,0.1719570473624211,1.0205052883428565,1.2486416707689334,0.06230298869945983,0.10606060606060606,0.20454545454545456,27,0.5185185185185185,40.0,0.02
15,20,45,132,0.11105474575740049,0.2226809579028901,0.1719570473624211,1.0205052883428565,1.2486416707689334,0.06230298869945983,0.10606060606060606,0.20454545454545456,27,0.5185185185185185,40.0,0.02
15,20,50,132,0.05133909970881967,0.10029467950505144,0.13213113402071408,0.48572845910866946,0.4788081210619783,0.05433742926319507,0.09090909090909091,0.18181818181818182,24,0.5,36.0,0.018
15,20,55,132,0.01753846992956598,0.03374931613520138,0.10058289418804048,-0.01801956782219041,-0.01233187291427266,0.039234047050817566,0.05303030303030303,0.10606060606060606,14,0.5,20.0,0.01
15,20,60,132,0.014937628377959644,0.02871083083366721,0.09631116465668747,-0.07385841841385618,-0.04331944205534906,0.03861783807881469,0.045454545454545456,0.08333333333333333,11,0.5454545454545454,16.0,0.008
